Start Time,End Time,Duration (s),Is Outlier
0:38,0:56,18.0,False
0:56,1:02,6.0,False
1:02,1:22,20.0,False
1:22,1:44,22.0,False
1:44,2:01,17.0,False
2:01,2:11,10.0,False
2:11,2:35,24.0,False
2:35,2:47,12.0,False
2:47,3:03,16.0,False
3:03,3:14,11.0,False
3:14,3:36,22.0,False
3:36,3:54,18.0,False
3:54,4:19,25.0,False
4:19,4:44,25.0,False
4:44,4:53,9.0,False
4:53,5:13,20.0,False
5:13,5:27,14.0,False
5:27,5:38,11.0,False
5:38,5:48,10.0,False
5:48,6:15,27.0,False
6:15,6:28,13.0,False
6:28,7:42,74.0,True
7:42,8:03,21.0,False
8:03,8:11,8.0,False
8:11,8:30,19.0,False
8:30,8:56,26.0,False
8:56,9:32,36.0,False
9:32,10:24,52.0,True
10:24,10:51,27.0,False
10:51,11:12,21.0,False
11:12,11:22,10.0,False
11:22,11:34,12.0,False
11:34,11:49,15.0,False
11:49,12:09,20.0,False
12:09,12:42,33.0,False
12:42,13:32,50.0,True
13:32,13:44,12.0,False
13:44,13:54,10.0,False
13:54,14:12,18.0,False
14:12,14:23,11.0,False
14:23,14:51,28.0,False
14:51,15:09,18.0,False
15:09,15:26,17.0,False
15:26,15:41,15.0,False


Mean duration between times: ~20.52 seconds
Standard deviation: ~12.62 seconds
Number of outliers: 3
Probability of an outlier: ~6.8%
